"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"20","RL",70,11200,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,0,"Hip","HdBoard","HdBoard","None",0,2,3,"CBlock",3,1,3,"906","134","1040",5,"Y","SBrkr",1040,0,1040,"1","0",1,0,3,3,5,0,0,"Detchd",1965,1,"1","384","3","3","Y",0,1,"2","2008","WD","Normal",129500
"60","RL",85,11924,"IReg","Inside","NridgHt","Norm","1Fam","2Story",9,5,2005,1,"Hip","WdShing","Wd Shng","Stone",286,4,3,"PConc",5,1,6,"998","177","1175",5,"Y","SBrkr",1182,1142,2324,"1","0",3,0,4,5,11,2,4,"BuiltIn",2005,2,"3","736","3","3","Y",147,1,"7","2006","New","Partial",345000
"20","RL",69.3057953144266,12968,"IReg","Inside","Sawyer","Norm","1Fam","1Story",5,6,1962,0,"Hip","HdBoard","Plywood","None",0,2,3,"CBlock",3,1,5,"737","175","912",3,"Y","SBrkr",912,0,912,"1","0",1,0,2,3,4,0,0,"Detchd",1962,1,"1","352","3","3","Y",140,1,"9","2008","WD","Normal",144000
"20","RL",91,10652,"IReg","Inside","CollgCr","Norm","1Fam","1Story",7,5,2006,1,"Gable","VinylSd","VinylSd","Stone",306,3,3,"PConc",4,3,1,"0","1494","1494",5,"Y","SBrkr",1494,0,1494,"0","0",2,0,3,4,7,1,4,"Attchd",2006,1,"3","840","3","3","Y",160,1,"8","2007","New","Partial",279500
"20","RL",69.3057953144266,10920,"IReg","Corner","NAmes","Norm","1Fam","1Story",6,5,1960,0,"Hip","MetalSd","MetalSd","BrkFace",212,2,3,"CBlock",3,1,4,"733","520","1253",3,"Y","SBrkr",1253,0,1253,"1","0",1,1,2,3,5,1,2,"Attchd",1960,1,"1","352","3","3","Y",0,1,"5","2008","WD","Normal",157000
"45","RM",51,6120,"Reg","Corner","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,1,"Gable","Wd Sdng","Wd Sdng","None",0,2,3,"BrkTil",3,1,1,"0","832","832",5,"Y","Other",854,0,854,"0","0",1,0,2,3,5,0,0,"Detchd",1991,1,"2","576","3","3","Y",48,4,"7","2007","WD","Normal",132000
"20","RL",69.3057953144266,11241,"IReg","CulDSac","NAmes","Norm","1Fam","1Story",6,7,1970,0,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,2,3,"CBlock",3,1,5,"578","426","1004",5,"Y","SBrkr",1004,0,1004,"1","0",1,0,2,3,5,1,3,"Attchd",1970,2,"2","480","3","3","Y",0,1,"3","2010","WD","Normal",149000
"90","RL",72,10791,"Reg","Inside","Sawyer","Norm","Duplex","1Story",4,5,1967,0,"Gable","MetalSd","MetalSd","None",0,2,3,"Slab",0,0,1,"0","0","0",3,"Y","SBrkr",1296,0,1296,"0","0",2,0,2,3,6,0,0,"CarPort",1967,1,"2","516","3","3","Y",0,1,"10","2006","WD","Normal",90000
"20","RL",66,13695,"Reg","Inside","SawyerW","RRAe","1Fam","1Story",5,5,2004,0,"Gable","VinylSd","VinylSd","None",0,2,3,"PConc",3,1,6,"646","468","1114",5,"Y","SBrkr",1114,0,1114,"1","0",1,1,3,4,6,0,0,"Detchd",2004,1,"2","576","3","3","Y",0,1,"6","2008","WD","Normal",159000
"20","RL",70,7560,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1958,1,"Hip","BrkFace","Plywood","None",0,2,3,"CBlock",3,1,2,"504","525","1029",3,"Y","SBrkr",1339,0,1339,"0","0",1,0,3,3,6,0,0,"Attchd",1958,1,"1","294","3","3","Y",0,2,"5","2009","COD","Abnorml",139000
"60","RL",101,14215,"IReg","Corner","NridgHt","Norm","1Fam","2Story",8,5,2005,1,"Gable","VinylSd","VinylSd","BrkFace",380,3,3,"PConc",5,3,1,"0","1158","1158",5,"Y","SBrkr",1158,1218,2376,"0","0",3,1,4,4,9,1,4,"BuiltIn",2005,1,"3","853","3","3","Y",240,1,"11","2006","New","Partial",325300
"45","RM",57,7449,"Slope","Inside","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1,"Gable","Wd Sdng","Wd Sdng","None",0,2,3,"PConc",3,1,1,"0","637","637",5,"Y","Other",1108,0,1108,"0","0",1,0,3,4,6,1,4,"Attchd",1930,1,"1","280","3","3","N",0,4,"6","2007","WD","Normal",139400
"20","RL",75,9742,"Reg","Inside","CollgCr","Norm","1Fam","1Story",8,5,2002,0,"Hip","VinylSd","VinylSd","BrkFace",281,3,3,"PConc",4,1,1,"0","1777","1777",5,"Y","SBrkr",1795,0,1795,"0","0",2,0,3,4,7,1,4,"Attchd",2002,1,"2","534","3","3","Y",171,1,"9","2008","WD","Normal",230000
"120","RM",44,4224,"Reg","Inside","MeadowV","Norm","TwnhsE","1Story",5,7,1976,0,"Gable","CemntBd","CmentBd","None",0,2,3,"PConc",4,1,6,"840","200","1040",3,"Y","SBrkr",1060,0,1060,"1","0",1,0,3,3,6,1,3,"Attchd",1976,1,"2","572","3","3","Y",100,1,"6","2007","WD","Normal",129900
"20","RL",69.3057953144266,8246,"IReg","Inside","Sawyer","Norm","1Fam","1Story",5,8,1968,1,"Gable","Plywood","Plywood","None",0,2,4,"CBlock",3,2,3,"188","204","1060",5,"Y","SBrkr",1060,0,1060,"1","0",1,0,3,4,6,1,3,"Attchd",1968,1,"1","270","3","3","Y",406,2,"5","2010","WD","Normal",154000
"20","RL",110,14230,"Reg","Corner","NridgHt","Norm","1Fam","1Story",8,5,2007,0,"Gable","VinylSd","VinylSd","Stone",640,3,3,"PConc",4,1,1,"0","1566","1566",5,"Y","SBrkr",1600,0,1600,"0","0",2,0,3,4,7,1,4,"Attchd",2007,1,"3","890","3","3","Y",0,1,"7","2009","WD","Normal",256300
"20","RL",60,7200,"Reg","Corner","NAmes","Norm","1Fam","1Story",5,7,1951,1,"Gable","Wd Sdng","Wd Sdng","None",0,2,3,"CBlock",3,2,4,"234","180","900",3,"Y","SBrkr",900,0,900,"0","1",1,0,3,4,5,0,0,"Detchd",2005,1,"2","576","3","3","Y",222,1,"5","2010","WD","Normal",134800
"20","RL",98,11478,"Reg","Inside","NridgHt","Norm","1Fam","1Story",8,5,2007,1,"Gable","VinylSd","VinylSd","Stone",200,3,3,"PConc",5,1,6,"1218","486","1704",5,"Y","SBrkr",1704,0,1704,"1","0",2,0,3,4,7,1,4,"Attchd",2008,1,"3","772","3","3","Y",0,1,"5","2010","WD","Normal",306000
"20","RL",47,16321,"IReg","CulDSac","NAmes","Norm","1Fam","1Story",5,6,1957,1,"Gable","MetalSd","MetalSd","None",0,2,3,"CBlock",3,4,4,"1277","207","1484",3,"Y","SBrkr",1600,0,1600,"1","0",1,0,2,3,6,2,4,"Attchd",1957,1,"1","319","3","3","Y",288,1,"12","2006","WD","Normal",207500
"30","RM",60,6324,"IReg","Inside","BrkSide","Feedr","1Fam","1Story",4,6,1927,1,"Gable","MetalSd","MetalSd","None",0,2,3,"BrkTil",3,1,1,"0","520","520",2,"N","SBrkr",520,0,520,"0","0",1,0,1,2,4,0,0,"Detchd",1920,1,"1","240","2","3","Y",49,1,"5","2008","WD","Normal",68500
"70","C (all)",50,8500,"Reg","Inside","IDOTRR","Feedr","1Fam","2Story",4,4,1920,1,"Gambrel","BrkFace","BrkFace","None",0,2,2,"BrkTil",3,1,1,"0","649","649",3,"N","SBrkr",649,668,1317,"0","0",1,0,3,3,6,0,0,"Detchd",1920,1,"1","250","3","2","N",0,2,"7","2008","WD","Normal",40000
"20","RL",69.3057953144266,8544,"IReg","CulDSac","Sawyer","Norm","1Fam","1Story",5,6,1966,1,"Gable","HdBoard","HdBoard","None",0,2,3,"CBlock",3,1,1,"0","1228","1228",4,"Y","SBrkr",1228,0,1228,"0","0",1,1,3,4,6,0,0,"Attchd",1966,1,"1","271","3","3","Y",0,2,"6","2008","WD","Normal",149350
"20","RL",85,11049,"Reg","Corner","CollgCr","Norm","1Fam","1Story",8,5,2007,0,"Gable","VinylSd","VinylSd","None",0,3,3,"PConc",5,3,1,"0","1234","1234",5,"Y","SBrkr",1234,0,1234,"0","0",2,0,3,4,7,0,0,"Attchd",2007,1,"2","484","3","3","Y",0,1,"1","2008","WD","Normal",179900
"20","RL",70,10552,"IReg","Inside","NAmes","Norm","1Fam","1Story",5,5,1959,0,"Hip","BrkFace","BrkFace","None",0,2,3,"CBlock",3,1,3,"1018","380","1398",4,"Y","SBrkr",1700,0,1700,"0","1",1,1,4,4,6,1,4,"Attchd",1959,1,"2","447","3","3","Y",0,1,"4","2010","WD","Normal",165500
"120","RL",60,7313,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,0,"Hip","MetalSd","MetalSd","BrkFace",246,4,3,"PConc",5,1,6,"1153","408","1561",5,"Y","SBrkr",1561,0,1561,"1","0",2,0,2,5,6,1,4,"Attchd",2005,2,"2","556","3","3","Y",203,1,"8","2007","WD","Normal",277500
"60","RL",108,13418,"Reg","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,1,"Gable","VinylSd","VinylSd","Stone",132,3,3,"PConc",5,3,1,"0","1117","1117",5,"Y","SBrkr",1132,1320,2452,"0","0",3,1,4,4,9,1,4,"BuiltIn",2004,2,"3","691","3","3","Y",113,1,"9","2006","WD","Normal",309000
"20","RL",112,10859,"Reg","Corner","CollgCr","Norm","1Fam","1Story",5,5,1994,1,"Gable","VinylSd","VinylSd","None",0,2,3,"PConc",4,1,1,"0","1097","1097",5,"Y","SBrkr",1097,0,1097,"0","0",1,1,3,3,6,0,0,"Attchd",1995,1,"2","672","3","3","Y",392,1,"6","2009","WD","Normal",145000
"20","RL",74,8532,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1954,1,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,2,3,"CBlock",3,1,3,"1213","84","1297",4,"Y","SBrkr",1297,0,1297,"0","1",1,0,3,3,5,1,3,"Attchd",1954,2,"2","498","3","3","Y",0,1,"10","2009","WD","Normal",153000
"20","RL",68,7922,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1953,1,"Gable","VinylSd","VinylSd","None",0,2,4,"CBlock",3,1,6,"731","326","1057",3,"Y","SBrkr",1057,0,1057,"1","0",1,0,3,4,5,0,0,"Detchd",1953,1,"1","246","3","3","Y",0,1,"1","2010","WD","Abnorml",109000
"90","RL",65,6040,"Reg","Inside","Edwards","Norm","Duplex","1Story",4,5,1955,0,"Gable","AsbShng","Plywood","None",0,2,3,"PConc",0,0,1,"0","0","0",3,"N","Other",1152,0,1152,"0","0",2,0,2,2,6,0,0,"None",1955,1,"0","0","None","0","N",0,1,"6","2008","WD","AdjLand",82000
"20","RL",84,8658,"Reg","Inside","NAmes","Norm","1Fam","1Story",6,5,1965,0,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,2,3,"CBlock",3,1,3,"643","445","1088",5,"Y","SBrkr",1324,0,1324,"0","0",2,0,3,3,6,1,3,"Attchd",1965,1,"2","440","3","3","Y",0,1,"12","2006","WD","Abnorml",160000
"20","RL",115,16905,"Reg","Inside","Timber","Norm","1Fam","1Story",5,6,1959,0,"Gable","VinylSd","VinylSd","None",0,2,4,"CBlock",3,4,4,"967","383","1350",4,"Y","SBrkr",1328,0,1328,"0","1",1,1,2,3,5,2,4,"Attchd",1959,1,"1","308","3","3","P",0,1,"7","2007","WD","Normal",170000
"85","RL",69.3057953144266,9180,"IReg","CulDSac","SawyerW","Norm","1Fam","SFoyer",5,7,1983,0,"Gable","HdBoard","HdBoard","None",0,2,3,"CBlock",4,3,5,"747","0","840",4,"Y","SBrkr",884,0,884,"1","0",1,0,2,4,5,0,0,"Attchd",1983,1,"2","504","3","4","Y",240,2,"12","2007","WD","Normal",144000
"20","RL",69.3057953144266,9200,"IReg","CulDSac","CollgCr","Norm","1Fam","1Story",5,6,1975,1,"Hip","VinylSd","VinylSd","None",0,2,3,"CBlock",4,3,2,"280","167","938",3,"Y","SBrkr",938,0,938,"1","0",1,0,3,3,5,0,0,"Detchd",1977,1,"1","308","3","3","Y",145,2,"7","2008","WD","Normal",130250
"20","RL",70,7945,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1959,0,"Gable","BrkFace","Wd Sdng","None",0,2,3,"CBlock",3,1,5,"179","465","1150",5,"Y","Other",1150,0,1150,"1","0",1,0,3,3,6,0,0,"Attchd",1959,1,"1","300","3","3","Y",0,1,"5","2006","WD","Normal",141000
"120","RL",61,7658,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,0,"Hip","MetalSd","MetalSd","BrkFace",412,4,3,"PConc",5,1,6,"456","1296","1752",5,"Y","SBrkr",1752,0,1752,"1","0",2,0,2,5,6,1,4,"Attchd",2005,1,"2","576","3","3","Y",196,1,"2","2010","WD","Normal",319900
"50","RL",48,12822,"IReg","CulDSac","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,0,"Gable","VinylSd","VinylSd","None",0,3,3,"PConc",5,1,6,"1351","83","1434",5,"Y","SBrkr",1518,631,2149,"1","0",1,1,1,4,6,1,5,"Attchd",2003,1,"2","670","3","3","Y",168,1,"8","2009","WD","Abnorml",239686
"20","FV",84,11096,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2006,0,"Gable","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,6,"24","1632","1656",5,"Y","SBrkr",1656,0,1656,"0","0",2,0,3,4,7,0,0,"Attchd",2006,1,"3","826","3","3","Y",0,1,"7","2007","WD","Normal",249700
"190","RM",33,4456,"Reg","Inside","OldTown","Norm","2fmCon","2Story",4,5,1920,1,"Gable","MetalSd","MetalSd","None",0,2,3,"BrkTil",3,1,1,"0","736","736",4,"Y","SBrkr",736,716,1452,"0","0",2,0,2,3,8,0,0,"None",1920,1,"0","0","None","0","N",0,1,"6","2009","New","Partial",113000
"20","RL",66,7742,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,7,1966,0,"Gable","HdBoard","HdBoard","None",0,2,3,"CBlock",3,1,4,"763","192","955",5,"Y","SBrkr",955,0,955,"1","0",1,0,3,3,6,0,0,"Attchd",1966,1,"1","386","3","3","Y",0,2,"1","2007","WD","Normal",127000
"60","RL",69.3057953144266,13869,"IReg","Corner","Gilbert","Norm","1Fam","2Story",6,6,1997,0,"Gable","VinylSd","VinylSd","None",0,2,3,"PConc",4,3,6,"182","612","794",4,"Y","SBrkr",794,676,1470,"0","1",2,0,3,3,6,0,0,"Attchd",1997,2,"2","388","3","3","Y",0,1,"7","2007","WD","Normal",177000
"50","RM",52,6240,"Reg","Inside","BrkSide","Norm","1Fam","1.5Fin",6,6,1934,1,"Gable","Wd Sdng","Wd Sdng","None",0,2,3,"PConc",3,1,1,"0","816","816",3,"Y","SBrkr",816,0,1176,"0","0",1,0,3,3,6,1,4,"Detchd",1985,1,"2","528","3","3","Y",112,2,"9","2006","WD","Normal",114500
"90","RM",110,8472,"Slope","Corner","IDOTRR","RRNn","Duplex","1Story",5,5,1963,0,"Gable","Wd Sdng","Wd Sdng","None",0,1,3,"CBlock",4,4,2,"104","0","816",3,"N","SBrkr",816,0,816,"1","0",1,0,2,3,5,0,0,"CarPort",1963,1,"2","516","3","3","Y",106,1,"5","2010","WD","Normal",110000
"20","RL",68,50271,"Slope","Inside","Veenker","Norm","1Fam","1Story",9,5,1981,1,"Gable","WdShing","Wd Shng","None",0,3,3,"CBlock",5,4,6,"1810","32","1842",4,"Y","SBrkr",1842,0,1842,"2","0",0,1,0,4,5,1,4,"Attchd",1981,2,"3","894","3","3","Y",857,1,"11","2006","WD","Normal",385000
"80","RL",60,7134,"Slope","Inside","NAmes","Norm","1Fam","SLvl",5,5,1955,0,"Gable","MetalSd","MetalSd","None",0,2,3,"CBlock",3,1,5,"384","0","384",3,"Y","SBrkr",1360,0,1360,"0","0",1,0,3,3,6,1,3,"Detchd",1962,1,"2","572","3","3","Y",0,2,"2","2007","WD","Normal",130000
"20","RL",100,10175,"IReg","Inside","NAmes","Norm","1Fam","1Story",6,5,1964,0,"Gable","HdBoard","Plywood","BrkFace",272,2,3,"CBlock",3,1,4,"490","935","1425",4,"Y","SBrkr",1425,0,1425,"0","0",2,0,3,3,7,1,4,"Attchd",1964,1,"2","576","3","3","Y",0,1,"7","2008","WD","Normal",180500
"160","FV",24,2645,"Reg","Inside","Somerst","Norm","Twnhs","2Story",8,5,1999,1,"Gable","MetalSd","MetalSd","BrkFace",456,3,3,"PConc",4,1,6,"649","321","970",5,"Y","SBrkr",983,756,1739,"1","0",2,1,3,4,7,0,0,"Attchd",1999,2,"2","480","3","3","Y",115,1,"8","2009","WD","Abnorml",172500
"60","RL",89,11645,"IReg","Corner","CollgCr","Norm","1Fam","2Story",7,5,2004,0,"Gable","VinylSd","VinylSd","None",0,3,3,"PConc",4,1,1,"0","860","860",5,"Y","SBrkr",860,860,1720,"0","0",2,1,3,4,7,0,0,"Attchd",2004,1,"2","565","3","3","Y",0,1,"8","2006","WD","Normal",196500
"60","RL",66,13682,"Slope","CulDSac","StoneBr","Norm","1Fam","2Story",10,5,2006,0,"Hip","VinylSd","VinylSd","BrkFace",1031,4,3,"PConc",5,4,1,"0","1410","1410",5,"Y","SBrkr",1426,1519,2945,"0","0",3,1,3,4,10,1,4,"BuiltIn",2006,2,"3","641","3","3","Y",192,1,"10","2006","New","Partial",438780
"20","RL",60,7200,"Slope","Inside","CollgCr","Norm","1Fam","1Story",5,7,1972,0,"Gable","HdBoard","HdBoard","None",0,2,3,"CBlock",3,3,5,"632","148","780",5,"Y","SBrkr",780,0,780,"0","0",1,0,2,3,4,0,0,"Detchd",1973,1,"1","352","3","3","Y",196,2,"1","2008","WD","Normal",124900
"20","RL",63,13072,"Reg","Inside","SawyerW","RRAe","1Fam","1Story",6,5,2004,0,"Gable","VinylSd","VinylSd","None",0,2,3,"PConc",4,1,5,"941","217","1158",5,"Y","SBrkr",1158,0,1158,"1","0",1,1,3,4,5,0,0,"Detchd",2006,1,"2","576","3","3","Y",0,1,"5","2006","New","Partial",158000
"75","RM",60,7200,"Reg","Inside","IDOTRR","Norm","1Fam","2.5Unf",5,7,1920,1,"Gable","MetalSd","MetalSd","None",0,2,3,"BrkTil",3,1,1,"0","530","530",3,"N","SBrkr",581,530,1111,"0","0",1,0,3,2,6,0,0,"Detchd",1935,1,"1","288","3","3","N",0,1,"3","2007","WD","Normal",101000
"120","RL",44,6442,"IReg","Inside","NridgHt","Norm","TwnhsE","1Story",8,5,2006,0,"Gable","VinylSd","VinylSd","Stone",178,3,3,"PConc",4,2,6,"24","1346","1370",5,"Y","SBrkr",1370,0,1370,"0","0",2,0,2,4,6,1,4,"Attchd",2006,1,"2","484","3","3","Y",120,1,"10","2007","WD","Normal",202500
"70","RM",50,10300,"Slope","Inside","OldTown","RRAn","1Fam","2Story",7,6,1921,1,"Gable","Stucco","Stucco","None",0,2,3,"BrkTil",3,1,1,"0","576","576",4,"Y","SBrkr",902,808,1710,"0","0",2,0,3,3,9,0,0,"Detchd",1990,1,"2","480","3","3","Y",12,4,"4","2010","WD","Normal",140000
"60","RL",69.3057953144266,9375,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,1997,1,"Gable","VinylSd","VinylSd","BrkFace",573,2,3,"PConc",4,1,6,"739","318","1057",5,"Y","SBrkr",1057,977,2034,"1","0",2,1,3,4,8,0,0,"Attchd",1998,1,"2","645","3","3","Y",576,4,"2","2009","WD","Normal",219500
"60","RL",76,9591,"Reg","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,1,"Gable","VinylSd","VinylSd","BrkFace",344,3,3,"PConc",5,3,1,"0","1143","1143",5,"Y","SBrkr",1143,1330,2473,"0","0",2,1,4,4,9,1,4,"BuiltIn",2004,1,"3","852","3","3","Y",192,1,"10","2007","WD","Normal",317000
"20","RL",69.3057953144266,19900,"Reg","Inside","NAmes","PosA","1Fam","1Story",7,5,1970,1,"Gable","Plywood","Plywood","BrkFace",287,2,3,"CBlock",4,4,6,"912","1035","1947",3,"Y","SBrkr",2207,0,2207,"1","0",2,0,3,3,7,1,4,"Attchd",1970,1,"2","576","3","3","Y",301,1,"7","2010","WD","Normal",180000
"20","RL",72,10665,"IReg","Inside","CollgCr","Norm","1Fam","1Story",7,5,2003,0,"Gable","VinylSd","VinylSd","BrkFace",167,3,3,"PConc",4,3,6,"1013","440","1453",5,"Y","SBrkr",1479,0,1479,"1","0",2,0,3,4,7,0,0,"Attchd",2003,1,"2","558","3","3","Y",144,1,"6","2007","WD","Normal",226000
"30","RM",47,4608,"Reg","Corner","OldTown","Artery","1Fam","1Story",4,6,1945,1,"Gable","MetalSd","MetalSd","None",0,2,4,"CBlock",3,1,1,"0","747","747",3,"Y","SBrkr",747,0,747,"0","0",1,0,2,3,4,0,0,"Attchd",1945,1,"1","220","3","3","Y",0,1,"6","2010","WD","Normal",80000
"50","RL",81,15593,"Reg","Corner","ClearCr","Norm","1Fam","1.5Fin",7,4,1953,0,"Gable","BrkFace","AsbShng","None",0,3,3,"CBlock",3,1,4,"603","701","1304",3,"Y","SBrkr",1304,983,2287,"0","0",2,0,3,3,7,1,3,"Attchd",1953,2,"2","667","3","3","Y",0,1,"7","2006","WD","Normal",225000
"20","RL",95,13651,"IReg","Inside","NAmes","Norm","1Fam","1Story",7,6,1973,0,"Gable","Plywood","Plywood","BrkFace",1115,2,4,"CBlock",4,4,5,"1880","343","2223",5,"Y","SBrkr",2223,0,2223,"1","0",2,0,3,3,8,2,4,"Attchd",1973,2,"2","516","3","3","Y",300,1,"2","2007","WD","Normal",244000
"20","RL",69,7599,"Reg","Corner","Mitchel","Norm","1Fam","1Story",4,6,1982,1,"Gable","HdBoard","Plywood","None",0,2,3,"CBlock",3,1,5,"565","280","845",3,"Y","SBrkr",845,0,845,"1","0",1,0,2,3,4,0,0,"Detchd",1987,1,"2","360","3","3","Y",0,1,"6","2007","WD","Normal",129500
"60","RL",74,10141,"IReg","Corner","Gilbert","Norm","1Fam","2Story",7,5,1998,0,"Gable","VinylSd","VinylSd","BrkFace",40,2,3,"PConc",4,1,1,"0","832","832",4,"Y","SBrkr",885,833,1718,"0","0",2,1,3,3,7,1,3,"Attchd",1998,2,"2","427","3","3","Y",0,1,"12","2009","WD","Normal",185000
"20","RL",85,10200,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1954,1,"Gable","Wd Sdng","Wd Sdng","BrkFace",104,2,3,"CBlock",3,1,5,"320","404","1086",4,"Y","SBrkr",1086,0,1086,"1","0",1,0,3,3,6,0,0,"Attchd",1989,1,"2","490","3","3","Y",0,1,"5","2010","WD","Normal",144900
